signal,signal_index,include_primary,include_sibling_sensitivity,exclusion_rule,exclusion_reason,provenance_evidence,evidence_class,origin_class,units,units_status,family,native_dt_ms,resolution_flag,aliasing_flag,description,notes
li,11,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Normalised internal inductance,
q95,12,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Safety factor at the 95% flux surface,
rmaxis,13,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Magnetic axis major radius,
rsurf,14,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,"Plasma boundary geometric centre, major radius",
tribot,15,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Bottom triangularity,
tritop,16,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,1,dimensionless,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Top triangularity,
volume,17,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m^3,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Plasma volume,
zcur,18,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Vertical position of the plasma current centroid,
zmaxis,19,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,Magnetic axis vertical position,
zsurf,20,False,False,R5_unresolved_ancestry,"LINEAGE_PARTIAL: EFIT settings, inputs and constraints unresolved, so independence from the target cannot be certified (fail-closed; no PROVENANCE_RELAXED variant exists)",equilibrium_lineage_status.csv LINEAGE_PARTIAL,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,m,documented,equilibrium_shape,20.0,UPSTREAM_UPSAMPLED,,"Plasma boundary geometric centre, vertical position",
density,21,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,cm^-3,documented,density,1.0,,,Line-averaged electron density,
prmtan_neped,22,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,m^-3,documented,density,10.0,,ALIASING_RISK,Pedestal electron density from tanh fit,
prmtan_teped,23,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,density,10.0,,ALIASING_RISK,Pedestal electron temperature from tanh fit,
fs04,24,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,0.0199999999999818,,,Filterscope D-alpha channel (fs04),
fs03da,25,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,0.0199999999999818,,,Filterscope D-alpha channel (fs03da),
fs04da,26,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,0.0199999999999818,,,Filterscope D-alpha channel (fs04da),
fs05da,27,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,filterscope_dalpha,0.0199999999999818,,,Filterscope D-alpha channel (fs05da),
gasa,28,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,2.0000000000004547,,,"Gas injection valve command, manifold A",
gasb,29,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,2.0000000000004547,,,"Gas injection valve command, manifold B",
gasc,30,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,gas_injection,2.0000000000004547,,,"Gas injection valve command, manifold C",
gasd,31,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,V,documented,gas_injection,2.0000000000004547,,,"Gas injection valve command, manifold D",
pinj,32,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,kW,documented,neutral_beams,0.099999999999909,,,Total injected neutral beam power,
pinj_15l,33,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 15L",
pinj_15r,34,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 15R",
pinj_21l,35,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 21L",
pinj_21r,36,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 21R",
pinj_30l,37,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 30L",
pinj_30r,38,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 30R",
pinj_33l,39,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 33L",
pinj_33r,40,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,W,documented,neutral_beams,0.099999999999909,,,"Injected neutral beam power, beamline 33R",
tinj,41,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,N m,documented,neutral_beams,0.099999999999909,,,Injected neutral beam torque,
ece1,42,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 1,
ece2,43,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 2,
ece3,44,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 3,
ece4,45,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 4,
ece5,46,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 5,
ece6,47,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 6,
ece7,48,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 7,
ece8,49,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 8,
ece9,50,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 9,
ece10,51,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 10,
ece11,52,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 11,
ece12,53,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 12,
ece13,54,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 13,
ece14,55,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 14,
ece15,56,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 15,
ece16,57,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 16,
ece17,58,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 17,
ece18,59,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 18,
ece19,60,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 19,
ece20,61,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 20,
ece21,62,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 21,
ece22,63,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 22,
ece23,64,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 23,
ece24,65,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 24,
ece25,66,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 25,
ece26,67,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 26,
ece27,68,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 27,
ece28,69,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 28,
ece29,70,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 29,
ece30,71,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 30,
ece31,72,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 31,
ece32,73,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 32,
ece33,74,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 33,
ece34,75,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 34,
ece35,76,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 35,
ece36,77,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 36,
ece37,78,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 37,
ece38,79,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 38,
ece39,80,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 39,
ece40,81,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,ece_te_profile,0.1999999999999886,,,ECE radiometer channel 40,
cerqrott3,82,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 3",
cerqrott6,83,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 6",
cerqrott8,84,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 8",
cerqrott10,85,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 10",
cerqrott11,86,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 11",
cerqrott12,87,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 12",
cerqrott13,88,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER toroidal rotation velocity, channel 13",
cerqtit3,89,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 3",
cerqtit6,90,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 6",
cerqtit8,91,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 8",
cerqtit10,92,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 10",
cerqtit11,93,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 11",
cerqtit12,94,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 12",
cerqtit13,95,True,True,,,S7.1 origin classification + units registry,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,eV,documented,cer_rotation_ti,10.0,,ALIASING_RISK,"CER ion temperature, channel 13",
