target,aliases_in_object,definitional_descendants_removed,same_quantity_siblings_removed,surviving_deterministic_restatement,evidence,method,C9_pass
ece9,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece10,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece11,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece12,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece13,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece14,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece15,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece16,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece17,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece18,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece19,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece20,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece21,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece22,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece23,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece24,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece25,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece26,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece27,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece28,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece29,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece30,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece31,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece32,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece33,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece34,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece35,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece36,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece37,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece38,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece39,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
ece40,0,0,39,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott3,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott6,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott8,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott10,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott11,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott12,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqrott13,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit3,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit6,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit8,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit10,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit11,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit12,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
cerqtit13,0,0,6,none,"S7.1 records one-to-one signal identity with no aliases; the only documented deterministic algebraic relation in the object is pinj = sum(pinj_*), removed by rule R3 where applicable; same-quantity channel series are removed by the sibling rule","provenance and definitions only; no correlation, regression, inversion or performance was used",True
