signal_index,signal_id,canonical_name,archive_name,dalia_name,aliases,signal_group,scientific_description,units,units_status,units_evidence_class,dimensional_signature,semantic_type,is_dimensionless,sign_convention,source_classification,origin_evidence_class,direct_or_derived_status,source_path,available_shots,native_dt_median,finite_fraction_min,provenance_status,notes
11,li,li,li_data / li_times,li,,equilibrium_shape,Normalised internal inductance,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
12,q95,q95,q95_data / q95_times,q95,,equilibrium_shape,Safety factor at the 95% flux surface,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,nonnegative,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
13,rmaxis,rmaxis,rmaxis_data / rmaxis_times,rmaxis,,equilibrium_shape,Magnetic axis major radius,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
14,rsurf,rsurf,rsurf_data / rsurf_times,rsurf,,equilibrium_shape,"Plasma boundary geometric centre, major radius",m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
15,tribot,tribot,tribot_data / tribot_times,tribot,,equilibrium_shape,Bottom triangularity,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
16,tritop,tritop,tritop_data / tritop_times,tritop,,equilibrium_shape,Top triangularity,1,dimensionless,LOCAL_DOCUMENTED (units registry),dimensionless,dimensionless,True,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
17,volume,volume,volume_data / volume_times,volume,,equilibrium_shape,Plasma volume,m^3,documented,LOCAL_DOCUMENTED (units registry),L^3,documented,False,nonnegative,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
18,zcur,zcur,zcur_data / zcur_times,zcur,,equilibrium_shape,Vertical position of the plasma current centroid,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
19,zmaxis,zmaxis,zmaxis_data / zmaxis_times,zmaxis,,equilibrium_shape,Magnetic axis vertical position,m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
20,zsurf,zsurf,zsurf_data / zsurf_times,zsurf,,equilibrium_shape,"Plasma boundary geometric centre, vertical position",m,documented,LOCAL_DOCUMENTED (units registry),L,documented,False,signed_or_unknown,EQUILIBRIUM_DERIVED,STRONGLY_INFERRED,EQUILIBRIUM_DERIVED,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,20.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"equilibrium reconstruction output; EFIT family inferred from group coherence with aminor/area, which name EFIT explicitly"
21,density,density,density_data / density_times,density,,density,Line-averaged electron density,cm^-3,documented,LOCAL_DOCUMENTED (units registry),L^-3,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,1.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"line-AVERAGED electron density: a line integral divided by a chord length, not a local measurement"
22,prmtan_neped,prmtan_neped,prmtan_neped_data / prmtan_neped_times,prmtan_neped,,density,Pedestal electron density from tanh fit,m^-3,documented,LOCAL_DOCUMENTED (units registry),L^-3,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,pedestal parameter from an explicit tanh profile fit
23,prmtan_teped,prmtan_teped,prmtan_teped_data / prmtan_teped_times,prmtan_teped,,density,Pedestal electron temperature from tanh fit,eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,nonnegative,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,pedestal parameter from an explicit tanh profile fit
24,fs04,fs04,fs04_data / fs04_times,fs04,,filterscope_dalpha,Filterscope D-alpha channel (fs04),ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.01999999999998181,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"calibrated filterscope photon flux, ph/(sr cm^2 s); a calibrated radiometric measurement, not an inversion"
25,fs03da,fs03da,fs03da_data / fs03da_times,fs03da,,filterscope_dalpha,Filterscope D-alpha channel (fs03da),ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.01999999999998181,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"calibrated filterscope photon flux, ph/(sr cm^2 s); a calibrated radiometric measurement, not an inversion"
26,fs04da,fs04da,fs04da_data / fs04da_times,fs04da,,filterscope_dalpha,Filterscope D-alpha channel (fs04da),ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.01999999999998181,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"calibrated filterscope photon flux, ph/(sr cm^2 s); a calibrated radiometric measurement, not an inversion"
27,fs05da,fs05da,fs05da_data / fs05da_times,fs05da,,filterscope_dalpha,Filterscope D-alpha channel (fs05da),ph/(sr cm^2 s),resolved_spelling,LOCAL_DOCUMENTED (units registry),L^-2 T^-1 (photon flux),resolved_spelling,False,signed_or_unknown,DIRECT_MEASUREMENT,LOCAL_DOCUMENTED,DIRECT_MEASUREMENT,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.01999999999998181,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"calibrated filterscope photon flux, ph/(sr cm^2 s); a calibrated radiometric measurement, not an inversion"
28,gasa,gasa,gasa_data / gasa_times,gasa,,gas_injection,"Gas injection valve command, manifold A",V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,2.0000000000004547,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"gas injection valve COMMAND in volts -- an actuator command, not a plasma measurement"
29,gasb,gasb,gasb_data / gasb_times,gasb,,gas_injection,"Gas injection valve command, manifold B",V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,2.0000000000004547,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"gas injection valve COMMAND in volts -- an actuator command, not a plasma measurement"
30,gasc,gasc,gasc_data / gasc_times,gasc,,gas_injection,"Gas injection valve command, manifold C",V,resolved_partial,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,resolved_partial,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,2.0000000000004547,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"gas injection valve COMMAND in volts -- an actuator command, not a plasma measurement"
31,gasd,gasd,gasd_data / gasd_times,gasd,,gas_injection,"Gas injection valve command, manifold D",V,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3 I^-1,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,2.0000000000004547,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,"gas injection valve COMMAND in volts -- an actuator command, not a plasma measurement"
32,pinj,pinj,pinj_data / pinj_times,pinj,,neutral_beams,Total injected neutral beam power,kW,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
33,pinj_15l,pinj_15l,pinj_15l_data / pinj_15l_times,pinj_15l,,neutral_beams,"Injected neutral beam power, beamline 15L",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
34,pinj_15r,pinj_15r,pinj_15r_data / pinj_15r_times,pinj_15r,,neutral_beams,"Injected neutral beam power, beamline 15R",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
35,pinj_21l,pinj_21l,pinj_21l_data / pinj_21l_times,pinj_21l,,neutral_beams,"Injected neutral beam power, beamline 21L",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
36,pinj_21r,pinj_21r,pinj_21r_data / pinj_21r_times,pinj_21r,,neutral_beams,"Injected neutral beam power, beamline 21R",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
37,pinj_30l,pinj_30l,pinj_30l_data / pinj_30l_times,pinj_30l,,neutral_beams,"Injected neutral beam power, beamline 30L",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
38,pinj_30r,pinj_30r,pinj_30r_data / pinj_30r_times,pinj_30r,,neutral_beams,"Injected neutral beam power, beamline 30R",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
39,pinj_33l,pinj_33l,pinj_33l_data / pinj_33l_times,pinj_33l,,neutral_beams,"Injected neutral beam power, beamline 33L",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
40,pinj_33r,pinj_33r,pinj_33r_data / pinj_33r_times,pinj_33r,,neutral_beams,"Injected neutral beam power, beamline 33R",W,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-3,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
41,tinj,tinj,tinj_data / tinj_times,tinj,,neutral_beams,Injected neutral beam torque,N m,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,CONTROL_COMMAND_OR_ACTUATION,LOCAL_DOCUMENTED,CONTROL_COMMAND_OR_ACTUATION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.09999999999990905,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,neutral-beam actuation output (injected power / torque); actuator-side quantity rather than a plasma diagnostic
42,ece1,ece1,ece1_data / ece1_times,ece1,,ece_te_profile,ECE radiometer channel 1,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
43,ece2,ece2,ece2_data / ece2_times,ece2,,ece_te_profile,ECE radiometer channel 2,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
44,ece3,ece3,ece3_data / ece3_times,ece3,,ece_te_profile,ECE radiometer channel 3,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
45,ece4,ece4,ece4_data / ece4_times,ece4,,ece_te_profile,ECE radiometer channel 4,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
