signal,signal_index,include_primary,target_status,provenance_status,source_supported_dt_min_ms,source_supported_dt_max_ms,archived_dt_median_ms,n_shots_upsampled,source_temporal_status,numerical_support_status,exclusion_rule,exclusion_reason,family,origin_class,units,units_status,aliasing_flag,derivative_qualification,description
prmtan_teped,23,True,predictor_candidate,certified_independent_of_target,4.535163253044634,14.186746987951807,10.0,3,UPSTREAM_UPSAMPLED,PASS,,,density,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Pedestal electron temperature from tanh fit
fs04,24,True,predictor_candidate,certified_independent_of_target,0.019999904875148636,0.04999990176720794,0.02,9,UPSTREAM_UPSAMPLED,PASS,,,filterscope_dalpha,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Filterscope D-alpha channel (fs04)
fs03da,25,True,predictor_candidate,certified_independent_of_target,0.019999904875148636,0.04999990176720794,0.02,9,UPSTREAM_UPSAMPLED,PASS,,,filterscope_dalpha,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Filterscope D-alpha channel (fs03da)
fs04da,26,True,predictor_candidate,certified_independent_of_target,0.019999904875148636,0.04999990176720794,0.02,9,UPSTREAM_UPSAMPLED,PASS,,,filterscope_dalpha,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Filterscope D-alpha channel (fs04da)
fs05da,27,True,predictor_candidate,certified_independent_of_target,0.019999904875148636,0.04999990176720794,0.02,9,UPSTREAM_UPSAMPLED,PASS,,,filterscope_dalpha,DIRECT_MEASUREMENT,ph/(sr cm^2 s),resolved_spelling,,NUMERICAL_SENSITIVITY_ONLY (upstream-upsampled),Filterscope D-alpha channel (fs05da)
gasa,28,True,predictor_candidate,certified_independent_of_target,0.04998057749579178,0.5,2.0,0,SOURCE_CONSISTENT,PASS,,,gas_injection,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,,standard,"Gas injection valve command, manifold A"
gasb,29,True,predictor_candidate,certified_independent_of_target,0.04998057749579178,0.5,2.0,0,SOURCE_CONSISTENT,PASS,,,gas_injection,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,,standard,"Gas injection valve command, manifold B"
gasc,30,True,predictor_candidate,certified_independent_of_target,0.04998057749579178,0.5,2.0,0,SOURCE_CONSISTENT,PASS,,,gas_injection,CONTROL_COMMAND_OR_ACTUATION,V,resolved_partial,,standard,"Gas injection valve command, manifold C"
gasd,31,True,predictor_candidate,certified_independent_of_target,0.04998057749579178,0.5,2.0,0,SOURCE_CONSISTENT,PASS,,,gas_injection,CONTROL_COMMAND_OR_ACTUATION,V,documented,,standard,"Gas injection valve command, manifold D"
pinj,32,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,kW,documented,,standard,Total injected neutral beam power
pinj_15l,33,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 15L"
pinj_15r,34,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 15R"
pinj_21l,35,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 21L"
pinj_21r,36,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 21R"
pinj_30l,37,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 30L"
pinj_30r,38,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 30R"
pinj_33l,39,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 33L"
pinj_33r,40,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,W,documented,,standard,"Injected neutral beam power, beamline 33R"
tinj,41,True,predictor_candidate,certified_independent_of_target,0.09999762187871583,0.10000000000000002,0.1,0,SOURCE_CONSISTENT,PASS,,,neutral_beams,CONTROL_COMMAND_OR_ACTUATION,N m,documented,,standard,Injected neutral beam torque
ece1,42,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 1
ece2,43,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 2
ece3,44,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 3
ece4,45,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 4
ece5,46,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 5
ece6,47,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 6
ece7,48,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 7
ece8,49,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 8
ece9,50,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 9
ece10,51,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 10
ece11,52,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 11
ece12,53,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 12
ece13,54,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 13
ece14,55,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 14
ece15,56,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 15
ece16,57,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 16
ece17,58,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 17
ece18,59,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 18
ece19,60,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 19
ece20,61,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 20
ece21,62,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 21
ece22,63,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 22
ece23,64,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 23
ece24,65,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 24
ece25,66,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 25
ece26,67,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 26
ece27,68,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 27
ece28,69,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 28
ece29,70,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 29
ece30,71,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 30
ece31,72,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 31
ece32,73,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 32
ece33,74,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 33
ece34,75,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 34
ece35,76,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 35
ece36,77,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 36
ece37,78,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 37
ece38,79,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 38
ece39,80,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 39
ece40,81,True,predictor_candidate,certified_independent_of_target,0.19999048751486326,0.2,0.2,0,SOURCE_CONSISTENT,PASS,,,ece_te_profile,DIAGNOSTIC_RECONSTRUCTION,keV,domain_authorized,,standard,ECE radiometer channel 40
cerqrott3,82,True,predictor_candidate,certified_independent_of_target,4.994179278230501,10.0,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 3"
cerqrott6,83,True,predictor_candidate,certified_independent_of_target,4.994179278230501,9.980039920159681,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 6"
cerqrott8,84,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 8"
cerqrott10,85,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 10"
cerqrott11,86,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 11"
cerqrott12,87,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 12"
cerqrott13,88,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,km/s,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER toroidal rotation velocity, channel 13"
cerqtit3,89,True,predictor_candidate,certified_independent_of_target,4.994179278230501,10.0,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 3"
cerqtit6,90,True,predictor_candidate,certified_independent_of_target,4.994179278230501,9.980039920159681,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 6"
cerqtit8,91,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 8"
cerqtit10,92,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 10"
cerqtit11,93,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 11"
cerqtit12,94,True,predictor_candidate,certified_independent_of_target,4.990366088631984,9.973614775725594,10.0,0,SOURCE_CONSISTENT,PASS,,,cer_rotation_ti,DIAGNOSTIC_RECONSTRUCTION,eV,documented,ALIASING_RISK,ALIASING_RISK on derivatives,"CER ion temperature, channel 12"
